source	target
RAASAVIHAAREE	रासविहारी
DEOGAN ROAD	देवगन रोड
SHATRUMARDAN	शत्रुमर्दन
MAHIJUBA	महिजुबा
SABINE	सैबिन
BILL COSBY	बिल कॉस्बी
RISHTA KAGAZ KA	रिश्ता कागज़ का
Hatim	हातिम
SHREEMAYI	श्रीमयी
FARIHAH	फरीहाह
MARITIME MUSEUM OF GREECE	मैरीटाइम म्युज़ियम ऑफ ग्रीस
MANTHAN	मंथन
FRANCO-RUSSIAN WAR	फ्रेंको-रशियन वार
TANMAYA	तन्मया
MALLI	मल्ली
KELIMUTU	केलीमुटु
MUTATKAR	मुटाटकर
GANGA MAIYA	गंगा मैया
FARIDAH	फरीदाह
TAHMEENA DURRANI	तहमीना दुर्रानी
DANUBE	डान्यूब
BALEEL	बलील
DALMIA CEMENT	डाल्मिया सीमेंट
FLORES	फ्लोरस
MONTGOMERY	मोंटगोमेरी
VIDYA	विद्या
SAARANGEE	सारंगी
LAVINA	लवीना
URBANA	अरबाना
SANDHAR	संधर
MAHARANI PADMINI	महारानी पद्‍मिनी
BRITA	ब्रिटा
JIROFT	जिरोफ्ट
NAAG DEVTA	नाग देवता
VERKA	वेरका
CHHAPRA KACHERI	छपरा कचेरी
CENTRAL QUEENSLAND UNIVERSITY	सेंट्रल क्वीन्सलैंड यूनिवर्सिटी
SURESH RAINA	सुरेश रायना
KIRIL	किरिल
Aonla	औनला
BAIJU	बैजु
NELLAI KAHAABOMAN	नेल्लाई कहाबोमन
ITALY	इटली
JAL PARI	जल परी
PARTHIV PATEL	पार्थिव पटेल
CLEM	क्लेम
PANTANAL MATOGROSSENSE	पेंटानल मॅटोग्रोसेंस
WAHIDAH	वहीदाह
FABIAN	फैबियन
ASAFPUR	आसफपुर
BARSAT KI RAAT	बरसात की रात
Cumbum	कम्बम
MARISSA	मैरिसा
FERDINAND	फर्डीनांड
SABBURAH	सब्बुराह
JAB YAAD KISI KI AATI HAI	जब याद किसी की आती है
ANOKHA BANDHAN	अनोखा बंधन
MUSEUM OF MODERN ART	म्युज़ियम ऑफ मॉडर्न आर्ट
RAAJAKUNVAREE	राजकुंवरी
FORT-CHAMBLY	फोर्ट-कैम्बली
HAJJAH	हज्जाह
BINDIYA CHAMKEGI	बिंदिया चमकेगी
AAHLAADIT	आह्लादित
QAILAH	कैलाह
VOLTAIRE	वॉल्टेअर
CAMILLE	कैमिल
PALSULE	पलसुले
PADMAL	पद्मल
Dheemant	धीमंत
Lokapradip	लोकप्रदीप
PRARTHANA	प्रार्थना
ALFRED HITCHCOCK	अल्फ़्रेड हिचकॉक
ARDAN	अर्दन
BARGARH ROAD	बारगढ़ रोड
ANPADH	अनपढ़
MINJONET	मिंजोनेट
JADZIA	जैडजिया
BABBOO	बब्बू
AAN AUR SHAAN	आन और शान
STATE MUSEUM OF THE VERMONT HISTORICAL SOCIETY	स्टेट म्युज़ियम ऑफ द वरमाउंट हिस्टॉरिकल सोसायट‍ी
VINCHURKAR	विंचुरकर
JHANSI	झाँसी
CHAMPAKA RAMANAYAKE	चंपका रामनायक
BHIM GARJANA	भीम गर्जना
JULIETTE BINOCHE	जुलियट बिनोची
BONSO ELECTRONICS INTERNATIONAL	बोनसो इलेक्ट्रॉनिक्स इंटरनेशनल
ASAAVAREE	असावरी
DIPA	दीपा
BOISAR	बोइसर
CHINDWADA	छिन्दवाडा
AVANINDAR	अवनिंदर
RAAJAKUMAAR	राजकुमार
KIRLOSKAR BROS	किर्लोस्कर ब्रदर्स
KALA CHOR	काला चोर
OCTOBER	ऑक्टोबर
LADAAKU	लड़ाकू
GRIZZLY	ग्रिज़ली
SARAI KE BAHAR	सराय के बाहर
TEL AVIV	तेल अविव
JUMMAL	जुम्मल
INGERSOLL RAND	इंगरसॉल रैंड
SUTANTAR	सुतंतर
GIRI	गिरि
ABZAARI	अब्ज़ारी
KALAADHAR	कलाधर
WILTON	विल्टन
LIONA	लियोना
ABUNDANT LIFE CHRISTIAN FELLOWSHIP	अब्यूडंट लाइफ क्रिश्चियन फ़ेलोशिप
UNIVERSITY OF HERTFORDSHIRE	यूनिवर्सिटी ऑफ हर्टफोर्डशायर
JAYSUKH	जयसुख
SOUTH CAROLINA	साउथ कैरोलिना
CYNARA	सायनारा
Cancer	कैंसर
NARSIMHA AVTAR	नरसिम्हा अवतार
JHANSIWALE	झांसीवाले
APRADHI KAUN	अपराधी कौन
LARISSA	लैरीसा
MISS MALA	मिस माला
MUNSIF DAILY	मुंसिफ डेल्ही
GAZI ASHRAF	गाज़ी अशरफ
NORMAN GIFFORD	नॉर्मन गिफॉर्ड
MUSHTAAK	मुश्ताक
LARRY KING	लैरी किंग
KSHANIKA	क्षणिका
NADIYA KE PAAR	नदिया के पार
DIALOG SEMICONDUCTOR	डायलॉग सेमीकंडक्टर
AADIKAVI	आदिकवि
Iqrit	इकरीत
AVISHKAR SALVI	आविष्कार साल्वि
JOEY BENJAMIN	जॉय बेंजामिन
PATI PATNI	पति पत्नी
FREDERIC FRANCOIS CHOPIN	फ़्रेंडरिक फ़्रांसीस चॉपिन
ARLEN	अर्लेन
BUSHNELL'S MUSEUM	बुशनेल्स म्युज़ियम
DABOLIM	दबोलिम
KLAMATH	क्लामथ
AYATOLLAH KHOMEINI	अयातुल्लाह खोमेनी
PERIYAR	पेरियर
KHURASIYA	खुरासिया
RUPAIYA	रुपैया
ANOKHA DAAN	अनोखा दान
RUTLAND	रूटलैंड
BELRAYAN	बेलरेयान
PIGHALTA AASMAN	पिघलता आसमान
SHANKAR KHAN	शंकर खान
GULZARBAGH	गुल्ज़ारबाग
ATMARAM	आत्माराम
